filename,Event,EventTAG,LAT,LON,DEP,LEN,WID,Mw,Mo,STRK,DIP,RAKE,Htop,HypX,HypZ,avTr,avVr
s1906SANFRA01WALD.fsp,San Francisco (Calif.),s1906SANFRA01WALD,37.78,-122.51,10.0,480.0,12.0,7.64,3.28e+20,325.0,90.0,180.0,0.0,132.0,10.0,4.2,2.7
s1948FUKUIJ01ICHI.fsp,Fukui (Japan),s1948FUKUIJ01ICHI,36.247,136.188,10.14,60.0,18.0,6.65,1.07e+19,170.0,75.0,-15.054160593455771,0.0,22.5,10.5,1.6,2.5
s1952TOKACH01KOBA.fsp,"Tokachi-Oki,Japan",s1952TOKACH01KOBA,41.7057,144.1512,17.6,255.0,195.0,8.4,4.8e+21,241.3,20.4,128.1,7.6,7.5,7.5,20.0,2.5
s1971SANFER01HEAT.fsp,San Fernando (Calif.),s1971SANFER01HEAT,34.43,-118.37,13.0,18.0,20.0,6.82,1.9e+19,285.0,50.0,83.0,0.01,11.5,14.0,0.8,2.8
s1974PERUCE01HART.fsp,Peru (Central Coast),s1974PERUCE01HART,-12.39,-77.76,12.0,250.0,168.0,8.01,1.18e+21,350.0,17.3,92.5,2.4,153.6,55.0,20.0,3.0
s1979IMPERI01OLSO.fsp,Imperial Valley (Calif.),s1979IMPERI01OLSO,32.644,-115.309,8.0,60.0,10.0,6.53,6.99e+18,323.0,80.0,-164.2129922156914,0.0,10.0,10.0,8.2,2.6
s1983JAPANE01FUKU.fsp,Japanea-chubu (Japan),s1983JAPANE01FUKU,40.357,139.077,14.0,90.0,30.0,7.58,3e+20,5.0,20.0,90.0,5.0,9.0,9.0,4.0,2.5
s1985CENTRA01MEND.fsp,Central Chile (Chile),s1985CENTRA01MEND,-33.125,-71.61,40.0,255.0,165.0,8.16,1.96e+21,5.0,25.0,115.0,6.4,177.0,103.0,14.0,3.0
s1987SUPERS01WALD.fsp,Superstition Hills (Calif.),s1987SUPERS01WALD,33.0166,-115.85,10.0,20.0,11.5,6.51,6.57e+18,127.0,90.0,180.0,0.5,2.0,8.62,1.5,2.4
s1992LANDER01COHE.fsp,Landers (Calif.),s1992LANDER01COHE,34.2,-116.43,5.0,83.0,18.0,7.08,4.66e+19,330.0,90.0,180.0,0.0,10.0,4.5,3.0,2.5
s1992LANDER01COTT.fsp,Landers (Calif.),s1992LANDER01COTT,34.2,-116.43,7.0,80.0,15.0,7.29,9.72e+19,330.0,90.0,180.0,1.0,10.0,6.0,3.1,3.0
s1992LANDER01HERN.fsp,Landers (Calif.),s1992LANDER01HERN,34.2,-116.43,7.0,80.0,15.0,7.22,7.71e+19,330.0,90.0,180.0,0.0,12.5,7.5,2.8,2.9
s1992LANDER01WALD.fsp,Landers (Calif.),s1992LANDER01WALD,34.2,-116.43,7.0,78.0,15.0,7.28,9.26e+19,330.0,89.0,180.0,0.0,11.0,7.0,6.0,2.7
s1992LANDER01ZENG.fsp,Landers (Calif.),s1992LANDER01ZENG,34.2,-116.43,7.0,77.0,15.0,7.2,7.2e+19,330.0,90.0,157.1813856424237,0.01,10.5,7.5,999.0,2.7
s1993HOKKAI01MEND.fsp,Hokkaido-nansei-oki (Japan),s1993HOKKAI01MEND,42.78,139.183,20.0,200.0,70.0,7.6,2.85e+20,180.0,30.0,95.0,0.0,150.0,30.0,5.0,3.0
s1993HOKKAI01TANI.fsp,Hokkaido-nansei-oki (Japan),s1993HOKKAI01TANI,42.777,139.197,17.0,140.0,32.0,7.76,4.91e+20,208.0,25.0,104.0,5.0,42.0,30.0,2.0,999.0
s1993HOKKAI02HAYE.fsp,Hokkaido-nansei-oki (Japan),s1993HOKKAI02HAYE,42.812,139.133,17.0,109.2,73.8,7.7,4.7e+20,200.0,30.0,93.49947179858916,0.08,59.15,33.83,3.4,2.2
s1994NORTHR01SHEN.fsp,Northridge (Calif.),s1994NORTHR01SHEN,34.213,-118.537,17.5,30.0,30.0,6.84,2.05e+19,122.0,48.0,81.12585742747902,2.5,21.5,23.6,0.0,0.0
s1994SANRIK01NAKA.fsp,Sanrikuki (Japan),s1994SANRIK01NAKA,40.43,143.75,10.0,110.0,170.0,7.88,7.49e+20,180.0,18.0,90.0,8.0,45.0,25.0,18.0,2.5
