filename,Nx,Nz,Fmin,Fmax,Dx,Dz,Ntw,Nsg,LEN,SHF,SVF,SGM-Data,TELE-Data,TRIL-Data,LEVEL-Data,GPS-Data,INSAR-Data,SURF-Data,OTHER-Data,SGM-PHImx,TELE-PHImx,TRIL-PHImx,LEVEL-PHImx,GPS-PHImx,INSAR-PHImx,SURF-PHImx,OTHER-PHImx,SGM-Rmin,TELE-Rmin,TRIL-Rmin,LEVEL-Rmin,GPS-Rmin,INSAR-Rmin,SURF-Rmin,OTHER-Rmin,hr-GPS-Data,hr-GPS-PHImx,hr-GPS-Rmin,GNSS-Data,InSAR-Data,OTHERS-Data,Other-Data,SAR-Data,SAT-Data,SPOT-Data,inSAR-Data,level-Data,lr-GPS-Data,tril-Data
s1906SANFRA01WALD.fsp,48.0,1.0,0.01,0.1,10.0,12.0,3.0,3.0,1.4,0.0,triang,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s1948FUKUIJ01ICHI.fsp,20.0,6.0,0.05,0.5,3.0,3.0,19.0,2.0,-99.0,0.0,unknown,10.0,7.0,999.0,999.0,0.0,0.0,0.0,0.0,999.0,999.0,999.0,999.0,0.0,0.0,0.0,0.0,999.0,999.0,999.0,999.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s1952TOKACH01KOBA.fsp,17.0,13.0,0.02,0.2,15.0,15.0,4.0,221.0,5.0,0.0,box-car,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s1971SANFER01HEAT.fsp,18.0,20.0,0.0,0.5,1.0,1.0,1.0,2.0,0.8,0.0,triang,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s1974PERUCE01HART.fsp,15.0,12.0,0.0,0.2,16.67,14.0,10.0,2.0,2.0,0.0,boxcar,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s1979IMPERI01OLSO.fsp,12.0,2.0,0.0,0.33,5.0,5.0,5.0,2.0,2.25,0.75,smooth,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s1983JAPANE01FUKU.fsp,15.0,5.0,0.05,1.0,6.0,6.0,1.0,2.0,0.0,0.0,unknown,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s1985CENTRA01MEND.fsp,17.0,11.0,0.1,0.5,15.0,15.0,14.0,2.0,1.0,0.0,boxcar,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s1987SUPERS01WALD.fsp,20.0,10.0,0.1,3.0,1.0,1.15,3.0,3.0,0.5,0.0,triang,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s1992LANDER01COHE.fsp,28.0,6.0,0.05,0.25,2.96,3.0,1.0,3.0,3.0,0.0,triang,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
