filename,DEPTH,P-VEL,S-VEL,DENS,QP,QS,number_of_layers
s1906SANFRA01WALD.fsp,0.0,3.38,1.95,2.6,9999.0,9999.0,7
s1906SANFRA01WALD.fsp,1.1,4.79,2.76,2.7,9999.0,9999.0,7
s1906SANFRA01WALD.fsp,9.1,6.0,3.46,2.7,9999.0,9999.0,7
s1906SANFRA01WALD.fsp,13.5,6.8,3.92,2.8,9999.0,9999.0,7
s1906SANFRA01WALD.fsp,16.6,7.11,4.1,2.9,9999.0,9999.0,7
s1906SANFRA01WALD.fsp,26.0,8.0,4.62,3.2,9999.0,9999.0,7
s1906SANFRA01WALD.fsp,230.0,8.2,4.73,3.2,9999.0,9999.0,7
s1952TOKACH01KOBA.fsp,0.0,5.5,3.2,2.65,680.0,400.0,4
s1952TOKACH01KOBA.fsp,5.5,5.8,3.4,2.7,680.0,400.0,4
s1952TOKACH01KOBA.fsp,13.0,6.4,3.8,2.8,680.0,400.0,4
s1952TOKACH01KOBA.fsp,25.0,7.5,4.5,3.2,850.0,500.0,4
s1971SANFER01HEAT.fsp,0.0,6.2,3.5,2.7,9999.0,9999.0,1
s1974PERUCE01HART.fsp,0.0,4.5,2.53,1.95,9999.0,9999.0,6
s1974PERUCE01HART.fsp,1.0,5.8,3.26,2.45,9999.0,9999.0,6
s1974PERUCE01HART.fsp,3.5,6.2,3.48,2.62,9999.0,9999.0,6
s1974PERUCE01HART.fsp,9.5,6.5,3.65,2.7,9999.0,9999.0,6
s1974PERUCE01HART.fsp,17.0,7.5,4.21,2.8,9999.0,9999.0,6
s1974PERUCE01HART.fsp,30.0,8.0,4.62,3.28,9999.0,9999.0,6
s1985CENTRA01MEND.fsp,0.0,2.5,1.44,1.6,60.0,60.0,8
s1985CENTRA01MEND.fsp,0.1,4.0,2.31,1.7,100.0,50.0,8
s1985CENTRA01MEND.fsp,1.1,4.75,2.74,2.0,200.0,100.0,8
s1985CENTRA01MEND.fsp,4.1,5.56,3.21,2.3,400.0,200.0,8
s1985CENTRA01MEND.fsp,8.1,6.07,3.5,2.5,500.0,250.0,8
s1985CENTRA01MEND.fsp,17.0,6.53,3.77,2.65,600.0,300.0,8
s1985CENTRA01MEND.fsp,22.5,7.0,4.04,2.8,600.0,300.0,8
s1985CENTRA01MEND.fsp,30.1,8.0,4.62,3.28,1000.0,500.0,8
s1987SUPERS01WALD.fsp,0.0,2.0,0.9,2.1,9999.0,9999.0,4
s1987SUPERS01WALD.fsp,4.8,5.4,3.0,2.6,9999.0,9999.0,4
s1987SUPERS01WALD.fsp,14.0,5.8,3.3,2.7,9999.0,9999.0,4
s1987SUPERS01WALD.fsp,15.0,7.1,4.0,3.0,9999.0,9999.0,4
s1992LANDER01COHE.fsp,1.5,3.8,1.98,2.3,100.0,30.0,5
s1992LANDER01COHE.fsp,4.0,5.5,3.15,2.6,600.0,300.0,5
s1992LANDER01COHE.fsp,26.0,6.2,3.52,2.7,600.0,300.0,5
s1992LANDER01COHE.fsp,32.0,6.8,3.83,2.87,600.0,300.0,5
s1992LANDER01COHE.fsp,80.0,8.0,4.64,3.5,600.0,300.0,5
s1992LANDER01COTT.fsp,0.0,4.1,2.3,2.5,300.0,300.0,5
s1992LANDER01COTT.fsp,2.0,5.5,3.2,2.8,500.0,500.0,5
s1992LANDER01COTT.fsp,4.0,6.3,3.65,2.9,500.0,500.0,5
s1992LANDER01COTT.fsp,26.0,6.8,3.9,3.1,500.0,500.0,5
s1992LANDER01COTT.fsp,32.0,8.2,4.7,3.2,500.0,500.0,5
s1992LANDER01HERN.fsp,0.0,4.1,2.3,2.5,300.0,300.0,5
s1992LANDER01HERN.fsp,2.0,5.5,3.2,2.8,500.0,500.0,5
s1992LANDER01HERN.fsp,4.0,6.3,3.65,2.9,500.0,500.0,5
s1992LANDER01HERN.fsp,26.0,6.8,3.9,3.1,500.0,500.0,5
s1992LANDER01HERN.fsp,32.0,8.2,4.7,3.2,500.0,500.0,5
s1992LANDER01WALD.fsp,1.5,3.8,1.98,2.3,100.0,30.0,5
s1992LANDER01WALD.fsp,4.0,5.5,3.15,2.6,600.0,300.0,5
s1992LANDER01WALD.fsp,26.0,6.2,3.52,2.7,600.0,300.0,5
s1992LANDER01WALD.fsp,32.0,6.8,3.83,2.87,600.0,300.0,5
s1992LANDER01WALD.fsp,80.0,8.0,4.64,3.5,600.0,300.0,5
s1992LANDER01ZENG.fsp,1.5,3.8,1.98,2.3,100.0,30.0,5
s1992LANDER01ZENG.fsp,4.0,5.5,3.15,2.6,600.0,300.0,5
s1992LANDER01ZENG.fsp,26.0,6.2,3.52,2.7,600.0,300.0,5
s1992LANDER01ZENG.fsp,32.0,6.8,3.83,2.87,600.0,300.0,5
s1992LANDER01ZENG.fsp,80.0,8.0,4.64,3.5,600.0,300.0,5
s1993HOKKAI01MEND.fsp,0.0,1.5,0.0,1.0,0.0,0.0,5
s1993HOKKAI01MEND.fsp,1.8,2.0,1.2,2.0,500.0,500.0,5
s1993HOKKAI01MEND.fsp,5.0,5.9,3.3,2.7,1000.0,1000.0,5
s1993HOKKAI01MEND.fsp,12.0,6.6,3.8,2.9,1200.0,1200.0,5
s1993HOKKAI01MEND.fsp,20.0,7.5,4.3,3.2,1500.0,1500.0,5
