filename,Event,EventTAG,LAT,LON,DEP,LEN_f,WID,Mw,Mo,STRK,DIP,RAKE,Htop,HypX,HypZ,avTr,avVr,Nx,Nz,Fmin,Fmax,Dx,Dz,Ntw,Nsg,LEN_inv,SHF,SVF,SGM-Data,TELE-Data,TRIL-Data,LEVEL-Data,GPS-Data,INSAR-Data,SURF-Data,OTHER-Data,SGM-PHImx,TELE-PHImx,TRIL-PHImx,LEVEL-PHImx,GPS-PHImx,INSAR-PHImx,SURF-PHImx,OTHER-PHImx,SGM-Rmin,TELE-Rmin,TRIL-Rmin,LEVEL-Rmin,GPS-Rmin,INSAR-Rmin,SURF-Rmin,OTHER-Rmin,BBR-Data,HR-GPS-Data,Hr-GPS-Data,InSAR-Data,Other-Data,SAT-Data,SPOT-Data,hr-GPS-Data,inSAR-Data,level-Data,tril-Data
s1906SANFRA01SONG.fsp,San Francisco (Calif.),s1906SANFRA01SONG,37.78,-122.51,10.0,480.0,12.0,7.91,8.15e+20,325.0,90.0,180.0,0.0,132.0,10.0,999.0,3.5,48.0,1.0,0.01,0.1,10.0,12.0,1.0,1.0,0.0,0.0,EGF,0.0,5.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2,999.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
s1906SANFRA01THAT.fsp,San Francisco (Calif.),s1906SANFRA01THAT,37.78,-122.51,10.0,480.0,10.0,7.91,8.12e+20,325.0,90.0,180.0,0.0,132.0,10.0,0.0,0.0,48.0,1.0,0.0,0.0,10.0,10.0,0.0,1.0,0.0,0.0,geodetic,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
s1923KANTOJ01KOBA.fsp,Kanto (Japan),s1923KANTOJ01KOBA,35.4,139.2,14.6,130.0,70.0,8.08,1.46e+21,290.0,25.0,140.0,2.0,110.5,35.0,10.5,2.6,10.0,7.0,0.02,0.4,13.0,10.0,1.0,1.0,1.5,0.0,triang,3.0,5.0,999.0,999.0,0.0,0.0,0.0,0.0,240.0,200.0,999.0,999.0,0.0,0.0,0.0,0.0,90.0,60.0,999.0,999.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
s1923KANTOJ01WALD.fsp,Kanto (Japan),s1923KANTOJ01WALD,35.4,139.2,14.6,130.0,70.0,7.95,9.33e+20,290.0,25.0,138.80831361063306,2.0,105.0,29.8,8.0,3.0,10.0,7.0,0.0,0.07,13.0,10.0,3.0,1.0,4.0,2.0,triang,0.0,6.0,31.0,225.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
s1944TONANK01ICHI.fsp,Tonankai (Japan),s1944TONANK01ICHI,33.77,135.96,30.0,220.0,140.0,8.04,1.31e+21,235.0,20.0,82.0,2.0,190.0,110.0,22.5,2.5,11.0,7.0,0.0,0.5,20.0,20.0,8.0,1.0,5.0,2.5,triang,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
s1944TONANK01KATO.fsp,Tonankai (Japan),s1944TONANK01KATO,33.8,136.62,30.0,240.0,180.0,8.2,2.8e+21,240.0,9.6,108.4,15.0,150.0,120.0,0.0,0.0,4.0,3.0,0.0,0.0,60.0,60.0,0.0,1.0,0.0,0.0,tsunami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,,,,,,,,,,,
s1944TONANK01KIKU.fsp,Tonankai (Japan),s1944TONANK01KIKU,33.7,136.05,30.0,140.0,80.0,7.99,1.08e+21,225.0,15.0,79.0,11.88,130.0,70.0,16.5,3.1,7.0,4.0,0.05,0.5,20.0,20.0,10.0,1.0,3.0,1.5,triang,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
s1944TONANK01SATA.fsp,Tonankai (Japan),s1944TONANK01SATA,33.8,136.62,30.0,270.0,180.0,8.1,2e+21,240.0,15.0,110.0,15.0,150.0,120.0,0.0,0.0,3.0,3.0,0.0,0.0,90.0,60.0,0.0,1.0,0.0,0.0,tsunami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,,,,,,,,,,,
s1944TONANK01TANI.fsp,Tonankai (Japan),s1944TONANK01TANI,33.8,136.62,30.0,315.0,180.0,8.1,2e+21,240.0,8.0,110.0,1.0,202.5,135.0,0.0,0.0,7.0,4.0,0.0,0.0,45.0,45.0,0.0,1.0,0.0,0.0,tsunami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,,,,,,,,,,,
s1945MIKAWA01KIKU.fsp,Mikawa (Japan),s1945MIKAWA01KIKU,34.7,137.1,10.0,25.0,15.0,6.67,1.13e+19,135.0,30.0,65.0,3.75,22.5,12.5,6.0,2.5,5.0,3.0,0.05,0.5,5.0,5.0,5.0,1.0,2.0,1.0,triang,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
s1946NANKAI01BABA.fsp,Nankaido (Japan),s1946NANKAI01BABA,33.03,135.62,30.0,360.0,180.0,8.4,4.9e+21,250.0,12.0,120.0,1.0,85.0,40.0,0.0,0.0,8.0,4.0,0.0,0.0,45.0,45.0,0.0,1.0,0.0,0.0,tsunami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,,,,,,,,,,,
s1946NANKAI01KATO.fsp,Nankaido (Japan),s1946NANKAI01KATO,33.03,135.62,30.0,360.0,180.0,8.3,4e+21,250.0,17.1,119.2,1.0,95.0,40.0,0.0,0.0,6.0,3.0,0.0,0.0,60.0,60.0,0.0,1.0,0.0,0.0,tsunami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,,,,,,,,,,,
s1946NANKAI01SATA.fsp,Nankaido (Japan),s1946NANKAI01SATA,33.03,135.62,30.0,360.0,180.0,8.31,3.31e+21,250.0,10.0,120.0,5.0,90.0,40.0,0.0,0.0,4.0,3.0,0.0,0.0,90.0,60.0,0.0,1.0,0.0,0.0,geodetic,0.0,0.0,999.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
s1946NANKAI01TANI.fsp,Nankaido (Japan),s1946NANKAI01TANI,33.03,135.62,30.0,360.0,180.0,8.4,4.51e+21,250.0,13.0,120.0,1.0,90.0,45.0,0.0,0.0,8.0,4.0,0.0,0.0,45.0,45.0,0.0,1.0,0.0,0.0,tsunami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,,,,,,,,,,,
s1961KITAMI01TAKE.fsp,Kitamino (Japan),s1961KITAMI01TAKE,36.2,136.8,10.0,16.0,12.0,6.47,5.76e+18,20.0,60.0,90.0,1.7,14.0,6.0,3.0,-99.0,4.0,3.0,0.0,0.5,4.0,4.0,1.0,1.0,3.0,0.0,parab.ramp,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
