filename,DEPTH,P-VEL,S-VEL,DENS,QP,QS,number_of_layers
s1906SANFRA01SONG.fsp,0.0,3.38,1.95,2.6,9999.0,9999.0,7
s1906SANFRA01SONG.fsp,1.1,4.79,2.76,2.7,9999.0,9999.0,7
s1906SANFRA01SONG.fsp,9.1,6.0,3.46,2.7,9999.0,9999.0,7
s1906SANFRA01SONG.fsp,13.5,6.8,3.92,2.8,9999.0,9999.0,7
s1906SANFRA01SONG.fsp,16.6,7.11,4.1,2.9,9999.0,9999.0,7
s1906SANFRA01SONG.fsp,26.0,8.0,4.62,3.2,9999.0,9999.0,7
s1906SANFRA01SONG.fsp,230.0,8.2,4.73,3.2,9999.0,9999.0,7
s1906SANFRA01THAT.fsp,0.0,3.38,1.95,2.6,9999.0,9999.0,7
s1906SANFRA01THAT.fsp,1.1,4.79,2.76,2.7,9999.0,9999.0,7
s1906SANFRA01THAT.fsp,9.1,6.0,3.46,2.7,9999.0,9999.0,7
s1906SANFRA01THAT.fsp,13.5,6.8,3.92,2.8,9999.0,9999.0,7
s1906SANFRA01THAT.fsp,16.6,7.11,4.1,2.9,9999.0,9999.0,7
s1906SANFRA01THAT.fsp,26.0,8.0,4.62,3.2,9999.0,9999.0,7
s1906SANFRA01THAT.fsp,230.0,8.2,4.73,3.2,9999.0,9999.0,7
s1923KANTOJ01KOBA.fsp,0.0,5.6,2.9,2.5,9999.0,9999.0,3
s1923KANTOJ01KOBA.fsp,6.1,6.0,3.4,2.6,9999.0,9999.0,3
s1923KANTOJ01KOBA.fsp,19.0,6.8,4.0,3.0,9999.0,9999.0,3
s1923KANTOJ01WALD.fsp,0.0,5.6,2.9,2.5,9999.0,9999.0,3
s1923KANTOJ01WALD.fsp,6.1,6.0,3.4,2.6,9999.0,9999.0,3
s1923KANTOJ01WALD.fsp,19.0,6.8,4.0,3.0,9999.0,9999.0,3
s1944TONANK01ICHI.fsp,0.0,4.34,2.5,2.16,100.0,50.0,14
s1944TONANK01ICHI.fsp,1.0,4.54,2.62,2.23,500.0,250.0,14
s1944TONANK01ICHI.fsp,3.0,5.8,3.35,2.62,500.0,250.0,14
s1944TONANK01ICHI.fsp,8.0,5.63,3.25,2.58,500.0,250.0,14
s1944TONANK01ICHI.fsp,13.0,5.74,3.31,2.6,500.0,250.0,14
s1944TONANK01ICHI.fsp,18.0,6.16,3.56,2.74,500.0,250.0,14
s1944TONANK01ICHI.fsp,23.0,6.25,3.61,2.77,500.0,250.0,14
s1944TONANK01ICHI.fsp,28.0,6.33,3.65,2.8,500.0,250.0,14
s1944TONANK01ICHI.fsp,33.0,6.85,3.95,2.96,1000.0,500.0,14
s1944TONANK01ICHI.fsp,38.0,7.32,4.23,3.11,1000.0,500.0,14
s1944TONANK01ICHI.fsp,43.0,7.3,4.21,3.1,1000.0,500.0,14
s1944TONANK01ICHI.fsp,48.0,7.28,4.2,3.14,1000.0,500.0,14
s1944TONANK01ICHI.fsp,53.0,7.41,4.28,3.14,1000.0,500.0,14
s1944TONANK01ICHI.fsp,58.0,7.21,4.16,3.08,1000.0,500.0,14
s1944TONANK01KIKU.fsp,0.0,5.5,2.8,2.3,250.0,500.0,5
s1944TONANK01KIKU.fsp,4.0,6.1,3.4,2.7,250.0,500.0,5
s1944TONANK01KIKU.fsp,20.0,6.6,3.8,2.88,250.0,500.0,5
s1944TONANK01KIKU.fsp,31.0,8.0,4.5,3.27,250.0,500.0,5
s1944TONANK01KIKU.fsp,80.0,8.0,4.5,3.27,250.0,500.0,5
s1945MIKAWA01KIKU.fsp,0.0,5.5,2.8,2.3,250.0,500.0,5
s1945MIKAWA01KIKU.fsp,4.0,6.1,3.4,2.7,250.0,500.0,5
